time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.airspeed,.groundspeed,.heading,.throttle,.altitude,.climb
2023/04/21/09:46:57.538708,6820,1682088366,345541072,,3.3787498474121094,0.040643297135829926,320,0.0,290.72845458984375,0.0135530149564147
2023/04/21/09:46:57.538813,6821,1682088366,443804798,,3.3768832683563232,0.038177162408828735,320,0.0,290.7305603027344,0.013472460210323334
2023/04/21/09:46:57.538902,6822,1682088366,543833040,,3.377531051635742,0.03850238397717476,320,0.0,290.7276916503906,0.010374387726187706
2023/04/21/09:46:57.538983,6823,1682088366,641488121,,3.376997947692871,0.03673389554023743,320,0.0,290.7253112792969,0.008395453914999962
2023/04/21/09:46:57.538996,6824,1682088366,840047217,,3.3781790733337402,0.03783949092030525,320,0.0,290.7220153808594,0.0059281000867486
2023/04/21/09:46:57.539770,6825,1682088366,936081351,,3.3768563270568848,0.03589094057679176,320,0.0,290.7205505371094,0.004612767603248358
2023/04/21/09:46:57.539863,6826,1682088366,944546389,,3.3770854473114014,0.03560987859964371,320,0.0,290.7225036621094,0.004479273222386837
2023/04/21/09:46:57.539879,6827,1682088367,41546396,,3.3776345252990723,0.03571490943431854,320,0.0,290.72442626953125,0.004351321142166853
2023/04/21/09:46:57.539958,6828,1682088367,239866840,,3.382028102874756,0.03934147581458092,320,0.0,290.72686767578125,0.004413891583681107
2023/04/21/09:46:57.539970,6829,1682088367,339076392,,3.385124683380127,0.0420934334397316,320,0.0,290.728515625,0.0040444727055728436
2023/04/21/09:46:57.539994,6830,1682088367,435460787,,3.3877029418945312,0.044535014778375626,320,0.0,290.7262878417969,0.001761977095156908
2023/04/21/09:46:57.540544,6831,1682088367,536487028,,3.3897452354431152,0.04725229740142822,320,0.0,290.7215270996094,-0.002463408512994647
2023/04/21/09:46:57.540644,6832,1682088367,637432267,,3.3911309242248535,0.04859856143593788,320,0.0,290.72039794921875,-0.0036046404857188463
2023/04/21/09:46:57.540724,6833,1682088367,743088459,,3.3890480995178223,0.046385373920202255,320,0.0,290.72308349609375,-0.002963456092402339
2023/04/21/09:46:57.540736,6834,1682088367,839001183,,3.389136791229248,0.04580267518758774,320,0.0,290.7261047363281,-0.0017494986532256007
