time,.time,.true_n,.true_velocity,.predicted_n,.predicted_velocity,.key_event,.key_event_time
2023/04/21/09:44:07.038180,487.14776611328125,0.8999305963516235,10.54617977142334,1.0447797775268555,10.54617977142334,0.0,0.0
2023/04/21/09:44:07.038267,487.3414001464844,0.8806190490722656,10.593392372131348,1.0440168380737305,10.593392372131348,0.0,0.0
2023/04/21/09:44:07.038297,487.539306640625,0.9679054617881775,10.621801376342773,1.0436489582061768,10.621801376342773,0.0,0.0
2023/04/21/09:44:07.038322,487.7389221191406,1.1013656854629517,10.547769546508789,1.0438827276229858,10.547769546508789,0.0,0.0
2023/04/21/09:44:07.039741,487.853759765625,1.2318776845932007,10.053600311279297,1.0447030067443848,10.053600311279297,0.0,0.0
2023/04/21/09:44:07.039800,488.0551452636719,1.3417727947235107,9.485706329345703,1.0460155010223389,9.485706329345703,0.0,0.0
2023/04/21/09:44:07.039835,488.348388671875,1.3503395318984985,8.34775161743164,1.0473629236221313,8.34775161743164,0.0,0.0
2023/04/21/09:44:07.039939,488.64141845703125,1.2811546325683594,7.64236307144165,1.0483956336975098,7.64236307144165,0.0,0.0
2023/04/21/09:44:07.039995,489.14642333984375,0.9101545214653015,7.5970778465271,1.0477582216262817,7.5970778465271,0.0,0.0
2023/04/21/09:44:07.040022,489.4448547363281,0.6658529043197632,8.237910270690918,1.0460246801376343,8.237910270690918,0.0,0.0
2023/04/21/09:44:07.041059,489.94927978515625,0.4888780415058136,10.202754020690918,1.0435007810592651,10.202754020690918,0.0,0.0
2023/04/21/09:44:07.041545,490.3506164550781,0.8050830364227295,10.123295783996582,1.0424035787582397,10.123295783996582,0.0,0.0
2023/04/21/09:44:07.041578,490.75213623046875,0.920566201210022,9.982427597045898,1.04182767868042,9.982427597045898,0.0,0.0
2023/04/21/09:44:07.041601,491.1415100097656,0.7973127365112305,11.08037281036377,1.0407001972198486,11.08037281036377,0.0,0.0
2023/04/21/09:44:07.041792,491.4494934082031,0.6549962759017944,11.915559768676758,1.0389370918273926,11.915559768676758,0.0,0.0
2023/04/21/09:44:07.041817,491.73980712890625,0.6873358488082886,13.49639892578125,1.0373237133026123,13.49639892578125,0.0,0.0
2023/04/21/09:44:07.041840,491.9468994140625,1.1061515808105469,13.49639892578125,1.0375927686691284,13.49639892578125,0.0,0.0
2023/04/21/09:44:07.041879,492.24761962890625,1.3697075843811035,13.268136978149414,1.039042592048645,13.268136978149414,0.0,0.0
2023/04/21/09:44:07.041901,492.8406677246094,1.806484341621399,10.519636154174805,1.042446255683899,10.519636154174805,0.0,0.0
2023/04/21/09:44:07.041958,493.0393981933594,1.373611569404602,9.798758506774902,1.0439013242721558,9.798758506774902,0.0,0.0
2023/04/21/09:44:07.041988,493.54559326171875,1.0914424657821655,10.384466171264648,1.0440884828567505,10.384466171264648,0.0,0.0
2023/04/21/09:44:07.042278,493.9447021484375,1.2988183498382568,10.045309066772461,1.045203685760498,10.045309066772461,0.0,0.0
