time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/04/21/09:42:02.337532,11227,1682088065,709436224,map,99.19977569580078,-220.02392578125,82.65753173828125,-0.3572329579822447,-0.0025210769639519488,0.3206477233071511,0.8772476448459625
2023/04/21/09:42:02.337656,11228,1682088065,749538368,map,99.8455810546875,-219.93162536621094,82.5733642578125,-0.3489603324096779,-0.027753425789908463,0.332855431537786,0.8755934231887583
2023/04/21/09:42:02.337796,11229,1682088065,780641792,map,100.29693603515625,-219.85411071777344,82.51557922363281,-0.3450937278437279,-0.03966700170149794,0.33771736554145715,0.874804982093665
2023/04/21/09:42:02.337887,11230,1682088065,820641792,map,100.89265441894531,-219.73373413085938,82.43997192382812,-0.3378551646626637,-0.06156200501167996,0.3460720721014989,0.8730968335437913
2023/04/21/09:42:02.337974,11231,1682088065,849641792,map,101.36810302734375,-219.6263885498047,82.37928771972656,-0.32892317271856825,-0.08159054567226917,0.35288201236991934,0.8721392360721996
2023/04/21/09:42:02.338063,11232,1682088065,890641792,map,101.93745422363281,-219.49417114257812,82.30860900878906,-0.32413408954254813,-0.09051625773593651,0.3561230628735586,0.8717340784174643
2023/04/21/09:42:02.338173,11233,1682088065,919641792,map,102.39511108398438,-219.37030029296875,82.25371551513672,-0.3129435955007236,-0.10698058693192919,0.3620758626838131,0.8715060007467477
2023/04/21/09:42:02.338186,11234,1682088065,950744960,map,102.81182861328125,-219.24758911132812,82.20641326904297,-0.3029050275122625,-0.11918133039584769,0.3682245610459461,0.8708933752302175
2023/04/21/09:42:02.338330,11235,1682088065,979744960,map,103.22388458251953,-219.11544799804688,82.16173553466797,-0.29867384743833714,-0.12271620238552457,0.3712540765169091,0.8705775267474769
2023/04/21/09:42:02.338439,11236,1682088066,19744960,map,103.8006820678711,-218.912109375,82.1007308959961,-0.29443463838977046,-0.12150894278842243,0.3772398562361234,0.8696171686573076
2023/04/21/09:42:02.338527,11237,1682088066,49839936,map,104.20035552978516,-218.76730346679688,82.06047821044922,-0.29611368454074743,-0.1089367064650168,0.38258553069357837,0.8683765972448138
2023/04/21/09:42:02.338613,11238,1682088066,80839936,map,104.59320068359375,-218.62789916992188,82.02254486083984,-0.2997256062378583,-0.09879851386338805,0.38530610976495655,0.8671463307367807
2023/04/21/09:42:02.338728,11239,1682088066,120839936,map,105.14615631103516,-218.41522216796875,81.96590423583984,-0.31049238747489066,-0.07514862114833368,0.39076952144372673,0.8632766599876015
2023/04/21/09:42:02.338845,11240,1682088066,149946688,map,105.53345489501953,-218.2587890625,81.92324829101562,-0.32539783118501087,-0.05117717958927759,0.39712208411210703,0.8566161724440007
2023/04/21/09:42:02.338926,11241,1682088066,179946688,map,105.91924285888672,-218.0965118408203,81.87687683105469,-0.33320651478588187,-0.04042496008840579,0.4009085569823257,0.8524151431718288
2023/04/21/09:42:02.338986,11242,1682088066,210946688,map,106.3364028930664,-217.91343688964844,81.82074737548828,-0.3476744215248984,-0.022167208731289658,0.41110569195159696,0.8423914846310284
2023/04/21/09:42:02.339083,11243,1682088066,253055232,map,106.84410095214844,-217.68800354003906,81.74566650390625,-0.35738435999880797,-0.012860151982295757,0.42523611833787456,0.8314357274619854
